,City,Country,Lat,Lng,Hotel Name
100,Tymovskoye,RU,50.85,142.66,Otel' Gostinnyy Dvor
101,Carnarvon,AU,-24.87,113.63,The Gascoyne Hotel
102,Adrar,MR,20.5,-10.07,
103,Vila Velha,BR,-20.33,-40.29,Hotel Senac Ilha do Boi
104,Egvekinot,RU,66.32,-179.17,
105,Port Hardy,CA,50.7,-127.42,Great Bear Lodge
106,Puerto Ayora,EC,-0.74,-90.35,Cucuve
107,Lata,PT,40.16,-8.33,
108,Luanda,AO,-8.84,13.23,EPIC SANA Luanda
109,Staraya Mayna,RU,54.6,48.95,
110,Villarrica,PY,-25.75,-56.43,Villarrica Palace Hotel
111,Tiksi,RU,71.69,128.87,Arktika
112,Chui,UY,-33.7,-53.46,Turis Firper Hotel
113,Bilibino,RU,68.05,166.44,Profilaktoriy Baes
114,Meybod,IR,32.25,54.02,Traditional Hotel Restaurant Haji Malek
115,Hilo,US,19.73,-155.09,Grand Naniloa Hotel Hilo - a DoubleTree by Hilton
116,Coahuayana Viejo,MX,18.73,-103.68,Hotel Posada Navideña
117,Iskateley,RU,67.68,53.15,"""Avantage"" hotel"
118,Praia,CV,14.92,-23.51,Hotel Oasis Atlantico Praiamar
119,Mahébourg,MU,-20.41,57.7,Holiday Inn Mauritius Mon Tresor
120,Warwick,US,41.7,-71.42,"NYLO Providence Warwick Hotel, Tapestry Collection by Hilton"
121,Berdigestyakh,RU,62.1,126.7,
122,Alta Floresta,BR,-9.88,-56.09,Floresta Amazonica Hotel
123,Utiel,ES,39.57,-1.2,VERA Estenas
124,Port Lincoln,AU,-34.73,135.87,The Grand Tasman Hotel
125,São João da Barra,BR,-21.64,-41.05,POUSADA SOBRE AS ÁGUAS
126,Tura,IN,25.52,90.22,Hotel Polo Orchid
127,Havre-St-Pierre,CA,50.23,-63.6,Hotel Du Havre
128,Samfya,ZM,-11.36,29.56,Chita Lodge Samfya
129,Miramar,US,25.99,-80.23,Stadium Hotel
130,Rāver,IN,21.25,76.03,
131,Kropotkin,RU,45.44,40.58,Luxury House ECO-hotel & Spa
132,Thompson,CA,55.74,-97.86,Best Western Thompson Hotel & Suites
133,Ilulissat,GL,69.22,-51.1,Hotel Arctic
134,Yura,PE,-16.25,-71.68,
135,Geraldton,AU,-28.77,114.6,Ocean Centre Hotel
136,Dingle,PH,11.0,122.67,
137,Mikkeli,FI,61.69,27.27,Original Sokos Hotel Vaakuna Mikkeli
138,Kapaa,US,22.08,-159.32,The ISO
139,Dwārka,IN,22.24,68.97,Hawthorn Suites | Nebula
140,Madimba,TZ,-10.4,40.33,
141,Alofi,NU,-19.06,-169.92,Taloa Heights
142,Irbeyskoye,RU,55.64,95.45,
143,Tiquisate,GT,14.28,-91.37,Hotel Familiar
144,San Juan,AR,-31.54,-68.54,Hotel Viñas del Sol
145,Atuona,PF,-9.8,-139.03,Hôtel Hiva Oa Hanakee Lodge
146,Beringovskiy,RU,63.05,179.32,Beringgorski
147,Ghorāwal,IN,24.77,82.78,सिरसाई
148,Avarua,CK,-21.21,-159.78,The Rarotongan Beach Resort & Lagoonarium
149,Pedasí,PA,7.53,-80.03,Hotel Casa de Campo Pedasí
150,Guerrero Negro,MX,27.98,-114.06,The Halfway Inn
151,Los Llanos de Aridane,ES,28.66,-17.92,Hotel Hacienda de Abajo
152,Sembakung,ID,3.82,117.25,
153,Hong Kong,HK,22.29,114.16,Royal Plaza Hotel 帝京酒店
154,Mossamedes,AO,-15.2,12.15,Infotur Namibe
155,Colares,PT,38.8,-9.45,Arribas Sintra Hotel
156,Awjilah,LY,29.11,21.29,
157,Jalu,LY,29.03,21.55,Jalu Hotel
158,Namatanai,PG,-3.67,152.43,Namatanai Hotel
159,Portage,US,41.17,-81.2,Rocking Horse Inn
160,Isangel,VU,-19.55,169.27,Quarumanu area
161,Tikrit,IQ,34.61,43.68,فندق تكريت بلازا
162,Barcelos,PT,41.54,-8.62,Residencial Solar da Estação
163,Pirassununga,BR,-22.0,-47.43,Hotel Premium Pirassununga
164,Guia Lopes da Laguna,BR,-21.46,-56.11,Vitória Hotel
165,Constitución,CL,-35.33,-72.42,Bed & Breakfast Sweet Dreams
166,Saint Paul Harbor,US,57.79,-152.41,Best Western Kodiak Inn and Convention Center
167,Portland,US,45.52,-122.68,"The Duniway Portland, A Hilton Hotel"
168,Atar,MR,20.52,-13.05,Odar kanawal
169,Bongor,TD,10.28,15.37,Hotel Moderne
170,Kodinsk,RU,58.69,99.18,
171,Urucará,BR,-2.54,-57.76,Hotel Eldorado
172,Vanimo,PG,-2.67,141.3,Sandaun Surf Hotel
173,Eureka,US,40.8,-124.16,Best Western Plus Humboldt Bay Inn
174,Katghora,IN,22.5,82.55,
175,Souillac,MU,-20.52,57.52,SkylineInn Hotel
176,Saint-Augustin,CA,51.23,-58.65,
177,Saskylakh,RU,71.92,114.08,
178,Kununurra,AU,-15.77,128.73,The Kimberley Grande Resort
179,Kédougou,SN,12.56,-12.17,Relais de Kédougou
180,Mendoza,AR,-32.89,-68.83,Park Hyatt Mendoza
181,Chicama,PE,-7.84,-79.15,Tiki Surf House
182,Benguela,AO,-12.58,13.41,Aparthotel Mil Cidades
183,Gandorhun,SL,7.5,-11.83,
184,Cap Malheureux,MU,-19.98,57.61,Lagoon Attitude Hotel
185,Trairi,BR,-3.28,-39.27,Rede Beach: Hotel em Guajiru
186,Olafsvik,IS,64.89,-23.71,Við Hafið Guesthouse
187,Vaini,TO,-21.2,-175.2,Paradise First Hotel
188,Saint George,US,37.1,-113.58,Inn on The Cliff St. George
189,Rahā,IN,26.23,92.52,
190,Maceió,BR,-9.67,-35.74,Jatiúca Hotel & Resort
191,Inírida,CO,3.87,-67.92,La Cabaña Guainiana
192,Biak,ID,-0.91,122.88,
193,Muaná,BR,-1.53,-49.22,HOTEL LE HIR
194,Taoudenni,ML,22.68,-3.98,
195,San Luis,AR,-33.3,-66.34,GRAN HOTEL SAN LUIS GOLD
196,Leningradskiy,RU,69.38,178.42,
197,Wau,SS,7.7,28.0,Amarula Lodge and Restaurant
198,Barrow,US,71.29,-156.79,Top of the World Hotel
199,Airai,TL,-8.93,125.41,
200,Nelson Bay,AU,-32.72,152.15,Amarna Luxury Beach Resort - Guest Only
201,Sitka,US,57.05,-135.33,Westmark Sitka
202,Codrington,AU,-38.27,141.97,Codrington Gardens Bed And Breakfast
203,Lakes Entrance,AU,-37.88,147.98,The Esplanade Resort & Spa
204,Oussouye,SN,12.48,-16.55,
205,Jieshi,CN,22.81,115.83,Dajiale Hotel
206,Bilma,NE,18.69,12.92,
207,Ca Mau,VN,9.18,105.15,Anh Nguyet Hotel
208,Nueve de Julio,AR,-35.44,-60.88,Grand Hotel Libertad - GHL
209,Moose Factory,CA,51.26,-80.61,Cree Village Eco Lodge
210,Kiama,AU,-34.68,150.87,The Sebel Kiama Harbourside
211,Tiznit Province,MA,29.58,-9.5,
212,Hamilton,US,39.18,-84.53,
213,Dikson,RU,73.51,80.55,
214,Bela,IN,25.93,81.98,Hotel Sneh
215,Abu Dhabi,AE,24.47,54.37,Royal M Hotel & Resort Abu Dhabi
216,Panabá,MX,21.28,-88.27,
217,Sioux Lookout,CA,50.1,-91.92,Sioux Lookout Inn & Suites
218,Gemenele,RO,45.28,27.62,
219,Jutaí,BR,-5.18,-68.9,
220,Fomboni,KM,-12.28,43.74,Le Relais de Singani hôtel
221,Tasiilaq,GL,65.61,-37.64,Hotel Angmagssalik
222,San-Pédro,CI,4.75,-6.64,ENOTEL BEACH
223,Upernavik,GL,72.79,-56.15,Café de Upernavik
224,Bambous Virieux,MU,-20.34,57.76,La Hacienda Hotel
225,Tarakan,ID,3.3,117.63,Hotel D'Calia
226,Tsurib,RU,42.24,46.83,
227,Mahon,ES,39.89,4.27,Síndic Hotel
228,Atherton,GB,53.52,-2.49,Hollins
229,Conde,BR,-7.26,-34.91,
230,Huilong,CN,31.81,121.66,Hilton Garden Inn Qidong
231,Nouadhibou,MR,20.93,-17.03,Free Zone Hotel Nouadhibou
232,Douglas,US,41.3,-96.17,Aloft Omaha West
233,Gurupi,BR,-11.73,-49.07,Veneza Plaza Hotel
234,Altar,MX,30.7,-111.82,Hotel Hacienda del Río
235,Laas,IT,46.62,10.7,Gasthof Hotel Sonne Silandro
236,Rongcheng,CN,30.63,117.85,Four Seasons Yony Hotel
237,Vestmannaeyjar,IS,63.44,-20.27,Hotel Vestmannaeyjar
238,Thul,PK,28.24,68.78,Ali Bux Soomro Gate Near Al Masoomi Hotel
239,Hasaki,JP,35.73,140.83,別邸 海と森
240,Maniitsoq,GL,65.42,-52.9,Hotel Maniitsoq
241,Katsuura,JP,35.13,140.3,Katsuura Hotel Mikazuki
242,Aklavik,CA,68.22,-135.01,Sundog Inn
243,Lavrentiya,RU,65.58,-171.0,
244,Lima,PE,-12.04,-77.03,Sunshine Hotel
245,Kiryat Gat,IL,31.61,34.76,Desert Gat
246,Santa Maria,BR,-29.68,-53.81,Hotel Ravas
247,Hualmay,PE,-11.1,-77.61,Hotel Terrazas Del Mar - Huacho
248,Porterville,US,36.07,-119.02,Best Western Porterville Inn
249,Sept-Îles,CA,50.2,-66.38,Château Arnaud
250,Birjand,IR,32.87,59.22,هتل پرويز
251,San Patricio,US,28.02,-97.52,Americas Best Value Inn Sinton
252,Belle Fourche,US,44.67,-103.85,AmericInn by Wyndham Belle Fourche
253,Sānchi,IN,23.48,77.73,Gateway Retreat
254,Comodoro Rivadavia,AR,-45.87,-67.5,Austral Hotel
255,Bhuban,IN,20.88,85.83,
256,Pokhara,NP,28.23,83.98,Shangrila Village Resort Pokhara
257,Luebo,CD,-5.35,21.42,
258,Ancud,CL,-41.87,-73.82,Panamericana Hotel Ancud
259,Nísia Floresta,BR,-6.09,-35.21,
260,Nakatsugawa,JP,35.48,137.5,夜がらす山荘 長多喜
261,Mocoa,CO,1.15,-76.65,Samawe Putumayo
262,Midland,US,32.0,-102.08,DoubleTree by Hilton Hotel Midland Plaza
263,Padang,ID,-0.95,100.35,Air Manis Hill Residence
264,Cururupu,BR,-1.83,-44.87,Hotel Líder
265,Vnukovo District,RU,55.62,37.22,Lesnoy contry house
266,Chara,RU,56.91,118.26,
267,Dzaoudzi,YT,-12.79,45.27,Oasis hôtel
268,Sabang,ID,5.89,95.32,Casa Nemo Beach Resort & Spa
269,Vao,NC,-22.67,167.48,OURE TERA beach resort
270,Fuxin,CN,42.02,121.66,Zhonglin International Hotel
271,Margate,GB,51.38,1.39,Botany Bay Hotel
